Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
24,"Tuzil, Jackie",FR-1,Carthage,38.18m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
25,"Kelly, Grace",SO-2,Carroll (Wis.),37.26m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Women
1,"Nickel, Trent",SR-4,Carroll (Wis.),48.91m,Beloit Relays,15-Apr-23,NaN,Javelin,CCIW,Men
2,"Rojas, Yasmani",JR-3,North Central (Ill.),47.99m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Men
3,"Singer, Max",FR-1,Illinois Wesleyan,47.14m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Men
4,"DeLille, Mason",SR-4,Carthage,46.03m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Men
5,"Bush, Travis",JR-3,Augustana (Ill.),45.57m,Rex Foster Twilight,7-Apr-23,NaN,Javelin,CCIW,Men
6,"von Schwedler, Brett",SR-4,Elmhurst,45.30m,Illinois College True Blue Invite,7-Apr-23,NaN,Javelin,CCIW,Men
7,"Wells, Magnus",FR-1,Augustana (Ill.),45.14m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
8,"Streveler, Noah",SO-2,Carroll (Wis.),43.63m,Wisconsin Private College Championships,2-Apr-23,NaN,Javelin,CCIW,Men
9,"Brost, Jacob",FR-1,Carthage,42.68m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Men
10,"Baggio, Roy",JR-3,Millikin,42.62m,Greenville College Select Meet,15-Apr-23,NaN,Javelin,CCIW,Men
11,"McNeill, Reid",SO-2,Augustana (Ill.),41.92m,Rex Foster Twilight,7-Apr-23,NaN,Javelin,CCIW,Men
12,"Kedzior, Adam",SO-2,Carthage,41.67m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
13,"Froseth, Logan",SO-2,Carroll (Wis.),41.47m,Beloit Relays,15-Apr-23,NaN,Javelin,CCIW,Men
13,"Clausen, Isaiah",SR-4,Wheaton (Ill.),41.47m,Gibson Invitational & Multis,13-Apr-23,NaN,Javelin,CCIW,Men
15,"Gephart, Devin",JR-3,Augustana (Ill.),41.31m,Wash U 5 Way,25-Mar-23,NaN,Javelin,CCIW,Men
16,"Hogan, Nick",SO-2,Augustana (Ill.),39.76m,Wash U 5 Way,25-Mar-23,NaN,Javelin,CCIW,Men
17,"Gissinger, Olav",FR-1,North Park,39.75m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
18,"Olson, Tyler",SO-2,North Park,39.57m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Men
19,"Ahlberg, Jacob",SO-2,North Central (Ill.),39.22m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Men
20,"Barton, Samuel",SO-2,North Central (Ill.),39.12m,Spartan Opener,2-Apr-23,NaN,Javelin,CCIW,Men
21,"Afework, Aaron",SO-2,Augustana (Ill.),37.88m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
22,"Zamber, Josh",SO-2,Carthage,37.60m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
23,"Ladewig, C.J.",FR-1,Illinois Wesleyan,37.10m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Men
24,"Elder, Ashtin",FR-1,Illinois Wesleyan,36.97m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Men
25,"Combs, Dylan",SR-4,North Central (Ill.),36.51m,Spartan Opener,2-Apr-23,NaN,Javelin,CCIW,Men
1,"Michalski, Heather",SO-2,Augustana (Ill.),40.34m,Rex Foster Twilight,7-Apr-23,NaN,Javelin,CCIW,Women
2,"Ladin, Faith",JR-3,North Central (Ill.),39.68m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
3,"Jones, Hannah",JR-3,North Central (Ill.),37.93m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
4,"Gum, Abi",SR-4,Wheaton (Ill.),33.52m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
5,"Miller, Esther",SR-4,North Park,31.09m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
6,"Hall, Kayleigh",SR-4,Illinois Wesleyan,29.67m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Women
7,"Bothe, Jadyn",SO-2,Illinois Wesleyan,28.50m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Women
8,"Gati, Afi",SO-2,Augustana (Ill.),28.40m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Women
9,"Heppner, Grace",SO-2,North Park,28.05m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Women
10,"Harvin, Sylvia",JR-3,Augustana (Ill.),27.34m,SAU Easter Weekend,5-Apr-23,NaN,Javelin,CCIW,Women
10,"McCane, Caitlin",SO-2,Illinois Wesleyan,27.34m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Women
12,"Tompkins, Hannah",FR-1,Wheaton (Ill.),27.14m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Women
13,"Stephens, Sarah",JR-3,Elmhurst,27.06m,Illinois College True Blue Invite,7-Apr-23,NaN,Javelin,CCIW,Women
14,"Slater, Caroline",FR-1,Elmhurst,27.04m,Illinois College True Blue Invite,7-Apr-23,NaN,Javelin,CCIW,Women
15,"Abell, Katie",JR-3,Millikin,27.03m,Greenville College Select Meet,15-Apr-23,NaN,Javelin,CCIW,Women
16,"Frere, Charlotte",FR-1,Augustana (Ill.),26.63m,Wheaton Invitational 2023,14-Apr-23,NaN,Javelin,CCIW,Women
17,"Miller, A.C.",SO-2,Carroll (Wis.),26.58m,Wisconsin Private College Championships,2-Apr-23,NaN,Javelin,CCIW,Women
18,"Wunderlich, Bridget",SO-2,Augustana (Ill.),25.92m,Wartburg Outdoor Select,1-Apr-23,NaN,Javelin,CCIW,Women
19,"Johnston, Teagan",SO-2,Carthage,25.18m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
20,"Moran, Kelsey",SO-2,Carroll (Wis.),24.43m,Wisconsin Private College Championships,2-Apr-23,NaN,Javelin,CCIW,Women
21,"Ullrich, Madi",FR-1,Carroll (Wis.),24.22m,Wisconsin Private College Championships,2-Apr-23,NaN,Javelin,CCIW,Women
22,"Boren, McKenzie",FR-1,Millikin,23.83m,Greenville College Select Meet,15-Apr-23,NaN,Javelin,CCIW,Women
23,"Cotter, Anna",JR-3,North Central (Ill.),23.79m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Javelin,CCIW,Women
24,"Yelle, Haylee",FR-1,Millikin,23.74m,Greenville College Select Meet,15-Apr-23,NaN,Javelin,CCIW,Women
25,"King, Carlyssa",SO-2,Illinois Wesleyan,23.58m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Javelin,CCIW,Women
1,"Miller, Esther",SR-4,North Park,3914,2023 Bryan Clay Invitational,13-Apr-23,NaN,Heptathlon,CCIW,Women
1,"Clausen, Isaiah",SR-4,Wheaton (Ill.),6700,Gibson Invitational & Multis,13-Apr-23,NaN,Decathlon,CCIW,Men
